id;name;x;y
01708;Kepler-157 b;445375.161122583;4478276.38160312
01709;Kepler-157 c;333357.038626861;4598904.88276196
01710;Kepler-157 d;442847.207723802;4468642.27883582
01711;Kepler-1570 b;440364.68931208;4481058.14332519
01712;Kepler-1571 b;442481.444147034;4463247.81146328
01713;Kepler-1572 b;439546.039074139;4489826.50218557
01714;Kepler-1573 b;447590.129813215;4472422.73119749
01715;Kepler-1574 b;446946.166736969;4469575.78022827
01087;Kepler-1093 c;528786.812746779;4614435.08302122
01088;Kepler-1094 b;567906.227648;4623947.99031491
01089;Kepler-1095 b;278385.856366769;4560635.31956462
01090;Kepler-1096 b;557984.091269065;4612918.98461496
01091;Kepler-1097 b;499444.820318156;4615794.06168349
01092;Kepler-1098 b;529686.692991786;4628300.48310795
01093;Kepler-1099 b;294937.441000671;4516060.21204828
01094;Kepler-11 b;276194.246264643;4562126.37244198
01095;Kepler-11 c;283219.000800788;4520041.14763284
00452;HD 154857 b;288252.251113154;4523396.84376587
00453;HD 154857 c;405733.027133095;4560652.21099854
00454;HD 155233 b;301512.56768867;4527174.54882159
00455;HD 155358 b;314933.262067779;4527872.52217976
00456;HD 155358 c;530916.458587363;4617756.85384826
00457;HD 156279 b;280357.526792344;4518205.56958264
00458;HD 156411 b;539884.229662159;4618240.4893214
00459;HD 156668 b;541152.778259089;4614509.62741605
03404;WASP-132 b;328427.775078272;4399953.78289439
03405;WASP-133 b;440529.865319671;4476600.25150953
03406;WASP-135 b;294539.96160121;4638361.76161634
03407;WASP-136 b;282469.567111806;4637964.51501027
03408;WASP-138 b;434377.903943466;4518494.3735412
03409;WASP-139 b;440091.133623963;4466597.19415119
03410;WASP-14 b;443933.330217323;4468441.20370676
03411;WASP-140 b;444378.951743104;4464308.29736471
02787;Kepler-638 b;355152.00891611;4606892.01022048
02788;Kepler-639 b;356794.344379427;4624020.58350026
02789;Kepler-64 (AB) b;353650.925168289;4619274.14706986
02790;Kepler-640 b;306994.977293812;4667862.00424301
02791;Kepler-641 b;453141.943010226;4541795.24259595
02792;Kepler-642 b;455309.693970721;4463447.66589239
02793;Kepler-643 b;442871.047348921;4476561.33137472
02794;Kepler-644 b;442079.657447173;4477838.18942795
02164;Kepler-29 c;357617.66266179;4614748.6777436
02165;Kepler-290 b;355825.683098623;4621245.14935867
02166;Kepler-290 c;356856.871126707;4605426.40978037
02167;Kepler-291 b;356191.564444214;4615173.67210789
02168;Kepler-291 c;408913.977133062;4449438.50130857
02169;Kepler-292 b;440742.508177272;4479526.8534883
02170;Kepler-292 c;414848.171514468;4494675.14182304
02171;Kepler-292 d;450662.117078677;4480837.41479858
01548;Kepler-1447 b;364105.710945944;4614943.56826198
01549;Kepler-1448 b;439974.568834494;4481384.61586934
01550;Kepler-1449 b;351346.883021106;4455440.4427248
01551;Kepler-145 b;457607.51736147;4523431.08618932
01552;Kepler-145 c;446734.555747444;4476373.52961956
01553;Kepler-1450 b;335274.149444281;4580806.80103908
01554;Kepler-1451 b;460124.769758061;4481193.08263493
01555;Kepler-1452 b;326673.773864255;4404140.56272798
00927;KIC 5094412 b;406585.981235126;4534477.07109459
00928;KIC 5522786 b;407155.790214545;4539779.62247417
00929;KIC 5732155 b;543626.275275622;4628212.90354229
00930;KIC 6185331 b;298138.138504418;4517231.83009533
00931;KIC 6372194 b;429407.864677201;4453311.46638983
00932;KIC 6436029 b;516775.711648081;4627373.32624783
00933;KIC 7917485 b;513063.322983351;4598426.48535074
00934;KIC 8012732 b;356482.92816997;4602646.03017122
00290;HATS-29 b;431272.864741565;4471869.37420485
00291;HATS-3 b;443408.546242529;4490531.72234256
00292;HATS-30 b;439803.249824566;4481742.92391277
00293;HATS-31 b;439600.666006099;4471467.53447066
00294;HATS-32 b;499187.699716354;4228126.40611989
00295;HATS-33 b;431248.964526633;4470647.60583635
00296;HATS-34 b;431564.4928849;4475608.49752765
00297;HATS-35 b;428325.998297419;4476109.53178005
03244;Kepler-995 b;461154.129702168;4483373.93619346
03245;Kepler-996 b;434783.33322796;4449871.48887014
03246;Kepler-997 b;448771.675585829;4295500.00076759
03247;Kepler-998 b;439939.469456644;4471452.69759488
03248;Kepler-999 b;461054.372672594;4479766.49955195
03249;L2 Pup b;437132.919867258;4473980.67611975
03250;LKCA 15 b;439620.694457963;4483558.36666551
03251;MOA-2007-BLG-192-L b;437531.501845476;4470995.30070984
02626;Kepler-522 b;286230.206290653;4635797.68966331
02627;Kepler-523 b;356441.462316916;4620585.02462465
02628;Kepler-524 b;357998.162322651;4615417.82480758
02629;Kepler-524 c;313002.743366938;4640184.06486693
02630;Kepler-525 b;358174.506939988;4612475.2158099
02631;Kepler-526 b;338659.592455369;4561420.28203257
02632;Kepler-527 b;356036.755868882;4608694.67524203
02633;Kepler-528 b;355367.634406566;4609298.28978196
02004;Kepler-233 b;448875.445219348;4466883.22443251
02005;Kepler-233 c;460768.447357309;4485020.34281695
02006;Kepler-234 b;334937.39679312;4424420.87332478
02007;Kepler-234 c;404976.683028709;4429521.1482736
02008;Kepler-235 b;331568.110197243;4652323.07741977
02009;Kepler-235 c;413938.795963622;4602337.81643698
02010;Kepler-235 d;326133.138196593;4587848.68457456
02011;Kepler-235 e;408702.750614384;4423073.07105461
01388;Kepler-1323 b;344261.524459707;4434502.11536708
01389;Kepler-1324 b;321388.222200283;4640339.26429627
01390;Kepler-1325 b;326449.51436315;4679177.40810322
01391;Kepler-1326 b;443456.393490565;4471563.61507969
01392;Kepler-1327 b;441916.543554944;4462387.09816836
01393;Kepler-1328 b;442571.717494971;4480583.53283754
01394;Kepler-1329 b;342707.281301668;4436086.27613498
01395;Kepler-133 b;415077.437964976;4394642.90350704
00760;HD 7924 b;520290.711832392;4613134.8892324
00761;HD 7924 c;548337.018961382;4640937.46971094
00762;HD 7924 d;425506.537278569;4482406.10341753
00763;HD 79498 b;435051.34472084;4456340.46934303
00764;HD 80606 b;285869.935085989;4493839.81827052
00765;HD 81040 b;428638.67592593;4463854.1532782
00766;HD 81688 b;434746.900123804;4456695.30087053
00767;HD 82886 b;436135.312967223;4455455.51216138
00130;EPIC 211970147 b;440935.048891668;4476391.42588482
00131;EPIC 211990866 b;285303.657263272;4503452.40055076
00132;EPIC 219388192 b;432142.67645657;4215648.98316071
00133;EPIC 220504338;441148.378969522;4469164.41832741
00134;EPIC 220674823 b;420160.984799622;4206005.6036572
00135;EPIC 220674823 c;491342.414439594;4214559.13350152
00136;EPIC-206011691 b;445348.902663802;4480008.19015019
00137;EPIC-206011691 c;439432.127069778;4484020.93296293
03084;Kepler-87 b;347762.343919016;4439727.96668144
03085;Kepler-87 c;440992.062209962;4483987.35261084
03086;Kepler-870 b;555030.997299152;4393524.76713828
03087;Kepler-871 b;425873.348691157;4478278.966745
03088;Kepler-872 b;445845.192889452;4464316.43735298
03089;Kepler-873 b;443033.421092728;4478071.3246092
03090;Kepler-874 b;442269.245593039;4488368.84162127
03091;Kepler-875 b;439082.79735351;4486357.75473859
02466;Kepler-405 c;356066.415404378;4608715.84431069
02467;Kepler-406 b;371379.226131384;4588548.06047672
02468;Kepler-406 c;380665.237679889;4479650.97616229
02469;Kepler-408 b;357310.782778696;4612915.50980329
02470;Kepler-409 b;356924.177009332;4597416.88807593
02471;Kepler-41  b;427354.144700498;4466500.66081042
02472;Kepler-410A b;430620.977984587;4467928.19620762
02473;Kepler-411 b;444987.095031422;4478557.37883512
01844;Kepler-177 b;356101.753961085;4617395.23939297
01845;Kepler-177 c;356174.894719836;4612947.60137549
01846;Kepler-178 b;355582.800591435;4609627.49932617
01847;Kepler-178 c;444766.316576679;4477255.41854291
01848;Kepler-178 d;425096.205793494;4490864.13188253
01849;Kepler-179 b;406325.232432614;4459162.64138123
01850;Kepler-179 c;281348.768625878;4609342.74277451
01851;Kepler-18 b;433861.579697406;4470044.43220316
01227;Kepler-1200 b;438741.525490812;4475011.02100363
01228;Kepler-1201 b;440005.932836057;4487408.11778082
01229;Kepler-1202 b;439051.229496756;4488363.15303751
01230;Kepler-1203 b;552657.324965755;4583783.96309785
01231;Kepler-1204 b;372837.981408193;4571260.07891946
01232;Kepler-1205 b;405711.693653494;4543120.96785104
01233;Kepler-1206 b;342879.139337517;4429654.22569191
01234;Kepler-1207 b;556357.338435032;4635408.13601655
00593;HD 219134 b;303503.477259575;4765968.58772027
00594;HD 219134 c;462682.015276628;4455363.62019176
00595;HD 219134 d;463726.820636191;4459748.01359567
00596;HD 219134 e;449312.626002357;4585860.10721562
00597;HD 219134 g;401548.540932187;4555434.83929755
00598;HD 219134 h;424646.643207049;4478922.15476087
00599;HD 219415 b;461813.765322001;4468896.07504122
00600;HD 219828 b;303020.911961612;4749298.63275771
03541;eta Cet b;432310.257081328;4456144.2225743
03542;eta Cet c;446441.9888479;4469559.52385405
03543;gamma 1 Leo b;439516.57346793;4485060.77442094
03544;gamma Cephei b;442119.930742253;4480983.72287854
03545;kappa And b;440225.866350412;4468617.66417033
03546;kappa CrB b;424390.991725855;4491021.35778276
03547;ksi Aql b;423307.562853915;4483134.43530013
03548;mu Ara b;437607.843644559;4477894.17694827
02923;Kepler-752 b;270400.623195891;4598706.192717
02924;Kepler-753 b;287959.985726133;4641068.14336638
02925;Kepler-754 b;271437.673308389;4596067.57306335
02926;Kepler-755 b;272161.000486313;4600309.47792339
02927;Kepler-755 c;271374.303682907;4603723.39892777
02928;Kepler-756 b;354958.897373725;4610407.33949108
02929;Kepler-757 b;252859.48313727;4646814.78024645
02930;Kepler-758 b;368403.558092452;4582124.36201115
02300;Kepler-338 c;427289.92207318;4460871.46733835
02301;Kepler-338 d;454529.988041312;4476796.7878167
02302;Kepler-338 e;438533.761290995;4481512.33214359
02303;Kepler-339 b;370814.020999452;4433357.94562129
02304;Kepler-339 c;327270.82924939;4669705.56216955
02305;Kepler-339 d;329486.998101787;4557824.22488672
02306;Kepler-34 (AB)  b;348479.56099315;4569783.13333958
02307;Kepler-340 b;452765.583630063;4479310.55849135
01684;Kepler-155 b;439383.052405586;4465837.03587305
01685;Kepler-155 c;439205.959836822;4475458.31977792
01686;Kepler-1550 b;443973.544685374;4459206.85244204
01687;Kepler-1551 b;443136.739986307;4457893.24097132
01688;Kepler-1552 b;441115.788114543;4470735.13031966
01689;Kepler-1553 b;443856.280269483;4468083.9690747
01690;Kepler-1554 b;441836.251634054;4473580.95735818
01691;Kepler-1555 b;427269.204485151;4460323.02588626
01063;Kepler-1075 b;434580.733919884;4475678.12448442
01064;Kepler-1076 b;387617.76260909;4510296.83271891
01065;Kepler-1077 b;404702.009631236;4516012.98853822
01066;Kepler-1078 b;409562.277769626;4535436.30635342
01067;Kepler-1079 b;436603.33642952;4474357.2153039
01068;Kepler-108 b;307377.777871388;4526751.48366462
01069;Kepler-108 c;493378.256103868;4625193.59847824
01070;Kepler-1080 b;547375.308749189;4588846.34455413
00428;HD 143761 c;259877.780648551;4551225.61161772
00429;HD 145377 b;305678.305078465;4698617.59012997
00430;HD 145457 b;404979.300301497;4555051.19033657
00431;HD 145934 b;257406.411766083;4508727.31799317
00432;HD 1461 b;398927.045663878;4545814.16963857
00433;HD 1461 c;406636.293390081;4526734.42559151
00434;HD 147018 b;385802.020571877;4453147.48547986
00435;HD 147018 c;499008.764201606;4229914.49148082
03380;WASP-107 b;438572.335775911;4471062.92006711
03381;WASP-108 b;441463.54475939;4469293.12463714
03382;WASP-109 b;443859.547965448;4470087.08382516
03383;WASP-11-HAT-P-10 b;446029.210003142;4484622.67839403
03384;WASP-110 b;339558.765451469;4499401.68603985
03385;WASP-111 b;573474.514851427;4576718.72654178
03386;WASP-112 b;439325.588873911;4471456.27140375
03387;WASP-113 b;428775.598539567;4459626.25158125
02763;Kepler-62 c;327527.191333912;4660769.40132444
02764;Kepler-62 d;405385.229677406;4608999.75197192
02765;Kepler-62 e;355640.804650083;4616507.9751764
02766;Kepler-62 f;437081.612484662;4472775.2791328
02767;Kepler-620 b;435969.151659669;4468691.8248714
02768;Kepler-621 b;439335.79055464;4462419.81528468
02769;Kepler-622 b;459954.517544433;4476725.65760538
02770;Kepler-623 b;433362.371471394;4454090.82054687
02140;Kepler-281 c;352250.623581672;4618637.76778156
02141;Kepler-282 b;435222.283000633;4499813.75521086
02142;Kepler-282 c;435155.846933065;4503326.8952362
02143;Kepler-282 d;435228.658215282;4508471.39992546
02144;Kepler-282 e;436234.747856823;4503807.3863391
02145;Kepler-283 b;432359.284554709;4503003.73772793
02146;Kepler-283 c;361127.47095042;4583799.03873076
02147;Kepler-284 b;282240.37317054;4662326.23064289
01524;Kepler-1427 b;430497.471946982;4463653.50571497
01525;Kepler-1428 b;430555.303274735;4466231.1109193
01526;Kepler-1429 b;431735.129320817;4462620.06289535
01527;Kepler-143 b;278683.959304514;4662591.75210596
01528;Kepler-143 c;284014.43706101;4607383.91134573
01529;Kepler-1430 b;317461.540704399;4401021.10479025
01530;Kepler-1431 b;426574.707143186;4458276.98709615
01531;Kepler-1432 b;431544.773697131;4457726.41983512
00903;K2-99 b;405510.053247609;4532741.71687585
00904;KELT-1 b;426925.302820259;4567059.43003952
00905;KELT-10 b;286753.505961076;4675556.70626201
00906;KELT-11 b;310587.899110139;4703038.80420725
00907;KELT-12 b;462725.748392148;4441668.61752451
00908;KELT-15 b;245916.522452626;4481051.773135
00909;KELT-16 b;406170.611691176;4535452.75751672
00910;KELT-17 b;406825.949061986;4522863.93000575
00266;HAT-P-7 b;576980.078398407;4703231.77032421
00267;HAT-P-8 b;282189.268084584;4538009.12893532
00268;HAT-P-9 b;429606.393303012;4464738.83085632
00269;HATS-1 b;442431.562644391;4495100.09598142
00270;HATS-10 b;430179.515123847;4476075.99231962
00271;HATS-11 b;441530.671824697;4493567.76471663
00272;HATS-12 b;431012.479526745;4457850.47568891
00273;HATS-13 b;438412.077749788;4544952.98668146
03220;Kepler-972 b;458790.411256653;4473660.27824488
03221;Kepler-973 b;438227.871386383;4470747.78134061
03222;Kepler-974 b;446156.35168991;4482699.52131103
03223;Kepler-975 b;445760.127717251;4480197.13711169
03224;Kepler-976 b;446132.803647478;4469582.03296333
03225;Kepler-977 b;427037.157476328;4469462.94044186
03226;Kepler-978 b;425898.466058929;4456529.61332324
03227;Kepler-979 b;441509.74206885;4465715.33143194
02602;Kepler-504 b;457234.774036534;4503322.69876227
02603;Kepler-505 b;356465.249016473;4616463.97790273
02604;Kepler-506 b;367405.506251234;4569212.03984069
02605;Kepler-507 b;337250.489202898;4599497.80592967
02606;Kepler-508 b;354808.970046638;4620840.98331382
02607;Kepler-509 b;356100.781822338;4619603.15556394
02608;Kepler-51 b;356216.367857272;4611280.10100447
02609;Kepler-51 c;345429.127786901;4571763.73191143
01980;Kepler-224 d;442433.584734541;4475171.46236923
01981;Kepler-224 e;460425.667000572;4469573.32700902
01982;Kepler-225 b;351377.107038068;4616934.00421032
01983;Kepler-225 c;350863.635156109;4603355.51285877
01984;Kepler-226 b;433921.472255245;4469334.60086337
01985;Kepler-226 c;453534.016334988;4464333.11705263
01986;Kepler-226 d;445517.070576731;4468487.44046635
01987;Kepler-227 b;440379.201336087;4473114.67250561
01364;Kepler-1307 b;436751.310358966;4478478.59746448
01365;Kepler-1308 b;436276.342927033;4464902.45250473
01366;Kepler-1309 b;437904.229108113;4473252.75781119
01367;Kepler-131 b;437805.775102991;4469098.94734069
01368;Kepler-131 c;441448.422314751;4477657.45411927
01369;Kepler-1310 b;435671.775258255;4459232.04157337
01370;Kepler-1311 b;439882.591149615;4477579.71488665
01371;Kepler-1311 c;441704.368089234;4469317.07644321
00735;HD 68402 b;395458.26730259;4555198.02213112
00736;HD 68988 b;508542.455081182;4632553.98269171
00737;HD 69830 b;318738.911366169;4703088.2467674
00738;HD 69830 c;310612.183719998;4686935.39890155
00739;HD 69830 d;492756.294066296;4595641.91476539
